Power,Untitled 1
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-500
2,-177.4222
2,-177.4222
2,-177.4222
2,-177.4222
2,-177.4222
2,-177.4222
2,-173.1555
2,-147.5555
2,-121.9555
2,-62.2222
2,-53.6889
2,-0.8572
2,-0.6439
2,-0.4941
2,-0.4899
2,-0.4877
2,-0.4856
2,-0.4685
2,-0.4643
2,-0.4493
2,-0.4451
2,-0.4323
2,-0.4301
2,-0.4152
2,-0.4131
2,-0.4003
2,-0.3986
2,-0.3954
2,-0.3938
2,-0.3922
2,-0.389
2,-0.3874
2,-0.3858
2,-0.381
2,-0.3762
2,-0.3714
2,-0.3666
2,-0.3602
2,-0.3554
2,-0.3506
2,-0.3458
2,-0.341
2,-0.3362
2,-0.3314
2,-0.3266
2,-0.3202
2,-0.3154
2,-0.3106
2,-0.3058
2,-0.301
2,-0.2975
2,-0.2943
2,-0.2868
2,-0.2847
2,-0.2772
2,-0.2761
2,-0.2751
2,-0.274
2,-0.2708
2,-0.2676
2,-0.2644
2,-0.2601
2,-0.2569
2,-0.2537
2,-0.2505
2,-0.2473
2,-0.2441
2,-0.2409
2,-0.2377
2,-0.2335
2,-0.2303
2,-0.2271
2,-0.2239
2,-0.2207
2,-0.2175
2,-0.2143
2,-0.2111
2,-0.2068
2,-0.2036
2,-0.2004
2,-0.1983
2,-0.1964
2,-0.1945
2,-0.1926
2,-0.1906
2,-0.1881
2,-0.1862
2,-0.1842
2,-0.1823
2,-0.1804
2,-0.1785
2,-0.1766
2,-0.1746
2,-0.1721
2,-0.1702
2,-0.1682
2,-0.1663
2,-0.1644
2,-0.1625
2,-0.1606
2,-0.1586
2,-0.1561
